RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
1001,030137000,1961-10-02T00:00:00.000Z,18000,228:297
1002,030138000,2009-08-27T00:00:00.000Z,0,2009:3843
1003,030138000,1961-10-02T00:00:00.000Z,18000,228:297
1004,030139000,1978-05-26T00:00:00.000Z,120000,392:685
1005,030139000,1998-02-11T00:00:00.000Z,915000,712:342
1006,030139100,1998-02-11T00:00:00.000Z,915000,712:342
1007,030139100,1978-05-26T00:00:00.000Z,30000,392:689
1008,030140000,2001-08-02T00:00:00.000Z,128000,818:76
1009,030140000,1979-09-06T00:00:00.000Z,40000,405:748
1010,030140000,2006-06-06T00:00:00.000Z,245000,1087:426
1011,030141000,2003-08-22T00:00:00.000Z,0,930:829
1012,030141000,1966-06-03T00:00:00.000Z,11000,278:11
1013,030142000,2007-05-02T00:00:00.000Z,250000,1139:497
1014,030142000,1998-01-16T00:00:00.000Z,74000,710:721
1015,030142000,1997-08-15T00:00:00.000Z,50000,700:852
1016,030142000,2002-05-02T00:00:00.000Z,140000,851:10
1017,030143000,1990-08-01T00:00:00.000Z,64000,546:551
1018,030143000,2016-04-29T00:00:00.000Z,190000,2016:1488
1019,030144000,2008-08-13T00:00:00.000Z,0,2008:4060
1020,030144000,1995-11-09T00:00:00.000Z,330000,662:212
1021,030144000,2017-05-08T00:00:00.000Z,2250000,2017:1705
1022,030144000,1999-07-15T00:00:00.000Z,775000,760:18
1023,040002000,2011-12-19T00:00:00.000Z,0,2011:4448
1024,040002000,2009-06-25T00:00:00.000Z,0,2009:2715
1025,040002000,2008-10-01T00:00:00.000Z,0,2008:4883
1026,040002000,1984-05-11T00:00:00.000Z,60000,449:808
1027,040002000,1959-08-19T00:00:00.000Z,14000,0:0
1028,040002000,2014-02-21T00:00:00.000Z,0,2014:596
1029,040002000,2009-06-02T00:00:00.000Z,330500,2009:2247
1030,040003000,2008-09-30T00:00:00.000Z,478300,2008:4837
1031,040003000,1991-03-29T00:00:00.000Z,37900,556:525
1032,040004000,2008-09-30T00:00:00.000Z,478300,2008:4837
1033,040004000,1991-03-29T00:00:00.000Z,58570,556:527
1034,040005000,1998-06-10T00:00:00.000Z,0,723:455
1035,040005000,2006-01-30T00:00:00.000Z,150000,1068:254
1036,040005000,1992-07-20T00:00:00.000Z,0,584:231
1037,040006000,2011-08-17T00:00:00.000Z,85000,2011:2965
1038,040006000,1989-01-01T00:00:00.000Z,0,123:109
1039,040006000,2017-09-28T00:00:00.000Z,0,2017:3811
1040,040006000,2010-05-13T00:00:00.000Z,90000,2010:1657
1041,040006000,2005-03-29T00:00:00.000Z,0,1021:522
1042,040007000,1990-02-21T00:00:00.000Z,50000,539:755
1043,040007000,2016-04-14T00:00:00.000Z,0,539:755
1044,040007000,2018-01-03T00:00:00.000Z,0,2018:10
1045,040007100,1994-10-30T00:00:00.000Z,0,191:486
1046,040008000,2012-04-18T00:00:00.000Z,0,2012:1580
1047,040008000,2006-06-22T00:00:00.000Z,7795,1091:788
1048,040008000,2007-07-12T00:00:00.000Z,173000,1150:499
1049,040008000,2006-04-14T00:00:00.000Z,130000,1078:252
1050,040008000,2002-06-04T00:00:00.000Z,64000,855:292
1051,040008000,2000-08-25T00:00:00.000Z,0,WB 44:444
1052,040008000,2017-10-11T00:00:00.000Z,0,2017:3945
1053,040008000,2017-10-11T00:00:00.000Z,215000,2017:3946
1054,040009000,2011-10-24T00:00:00.000Z,0,2011:3730
1055,040009000,2012-01-11T00:00:00.000Z,102000,2012:135
1056,040009000,1970-11-16T00:00:00.000Z,0,177:292
1057,040010000,2009-07-31T00:00:00.000Z,250000,2009:3361
1058,040010000,1986-11-05T00:00:00.000Z,40000,486:231
1059,040012000,2000-11-17T00:00:00.000Z,10000,795:70
1060,040012000,2000-08-25T00:00:00.000Z,0,WB 44:444
1061,040013000,1998-07-29T00:00:00.000Z,52000,728:44
1062,040013000,2006-11-21T00:00:00.000Z,0,1117:149
1063,040013000,1989-06-29T00:00:00.000Z,0,411:287
1064,040014000,2001-11-12T00:00:00.000Z,60000,827:789
1065,040014000,1983-12-28T00:00:00.000Z,0,0:0
1066,040014000,1987-12-07T00:00:00.000Z,0,505:116
1067,040014100,1999-05-28T00:00:00.000Z,12000,754:645
1068,040014100,2006-06-23T00:00:00.000Z,0,1092:82
1069,040015000,1989-06-01T00:00:00.000Z,45000,529:80
1070,040015000,2002-12-02T00:00:00.000Z,0,WB46:615
1071,040015000,1977-02-22T00:00:00.000Z,0,0:0
1072,040016000,1973-06-05T00:00:00.000Z,11700,347:106
1073,040016000,2015-01-20T00:00:00.000Z,81200,2015:153
1074,040016000,2014-12-01T00:00:00.000Z,0,W2014:484
1075,040016000,2014-12-01T00:00:00.000Z,0,W2014:484
1076,040016000,2014-12-01T00:00:00.000Z,0,W2014:484
1077,040017000,2002-09-10T00:00:00.000Z,40000,868:398
1078,040017000,1992-07-20T00:00:00.000Z,0,584:233
1079,040018000,2000-08-25T00:00:00.000Z,0,WB 44:444
1080,040018000,2000-12-01T00:00:00.000Z,81000,796:1
1081,040019000,2002-01-23T00:00:00.000Z,82500,837:258
1082,040019000,2000-08-25T00:00:00.000Z,0,WB 44:444
1083,040020000,2008-05-23T00:00:00.000Z,215000,2008:2425
1084,040020000,2007-09-13T00:00:00.000Z,132282,1159:816
1085,040020000,1993-11-12T00:00:00.000Z,80000,616:532
1086,040020000,2012-03-12T00:00:00.000Z,195000,2012:991
1087,040021000,2000-05-11T00:00:00.000Z,0,780:852
1088,040021000,1994-09-16T00:00:00.000Z,36000,639:290
1089,040021000,2000-05-11T00:00:00.000Z,0,780:847
1090,040022000,1983-10-04T00:00:00.000Z,1947,443:474
1091,040023000,2016-06-14T00:00:00.000Z,0,2016:2158
1092,040023000,1995-10-20T00:00:00.000Z,44700,661:255
1093,040024000,2000-05-11T00:00:00.000Z,0,780:852
1094,040024000,1995-07-17T00:00:00.000Z,41800,655:82
1095,040024000,2000-05-11T00:00:00.000Z,0,780:847
1096,040025000,2015-07-23T00:00:00.000Z,0,456:40
1097,040025000,1984-10-01T00:00:00.000Z,40000,456:40
1098,040026000,1994-04-29T00:00:00.000Z,1000,629:254
1099,040026000,2015-07-23T00:00:00.000Z,0,629:254
1100,040027000,2014-04-22T00:00:00.000Z,0,2014:1219
1101,040027000,1976-11-03T00:00:00.000Z,4800,379:587
1102,040027000,2013-06-13T00:00:00.000Z,110000,2013:2803
1103,040027000,2013-03-01T00:00:00.000Z,0,W2013:73
1104,040028000,1982-09-24T00:00:00.000Z,0,432:184
1105,040028000,2007-11-01T00:00:00.000Z,4900000,1165:269
1106,040029000,1993-03-12T00:00:00.000Z,0,WB 36:693
1107,040029000,1991-09-27T00:00:00.000Z,0,566:688
1108,040029000,1999-07-01T00:00:00.000Z,84900,758:655
1109,040030000,2000-05-11T00:00:00.000Z,0,780:847
1110,040030000,1998-11-20T00:00:00.000Z,0,738:470
1111,040030000,2000-05-11T00:00:00.000Z,0,780:852
1112,040030000,1997-11-12T00:00:00.000Z,45000,706:730
1113,040032000,2003-06-11T00:00:00.000Z,0,WB47:59
1114,040032000,1998-11-20T00:00:00.000Z,4100,738:470
1115,040032000,2015-12-21T00:00:00.000Z,0,2015:4702
1116,040032000,2014-04-03T00:00:00.000Z,200000,2014:1041
1117,040032000,1989-10-20T00:00:00.000Z,48000,535:429
1118,040033000,2009-07-07T00:00:00.000Z,71000,2009:2918
