geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Abanda, AL","place",16000US0100100,,,11207,,,,,
"Abbeville, AL","place",16000US0100124,26500,27989,25615,28148,84600,77900,71600,77700
"Adamsville, AL","place",16000US0100460,45488,46005,42575,44833,99400,91900,95000,95300
"Addison, AL","place",16000US0100484,37917,38194,37083,34063,97000,94800,69300,67100
"Akron, AL","place",16000US0100676,23036,22813,21667,17344,61700,76400,72500,63300
"Alabaster, AL","place",16000US0100820,70397,70173,71816,73325,162700,164200,165800,166300
"Albertville, AL","place",16000US0100988,37575,36210,32911,32042,105200,111600,111300,106200
"Alexander City, AL","place",16000US0101132,33804,30500,29874,30442,101200,106500,102900,107800
"Alexandria, AL","place",16000US0101180,50165,51368,56058,57411,135500,133700,128500,115500
"Aliceville, AL","place",16000US0101228,19413,21754,21131,19926,85400,101800,97100,97500
"Allgood, AL","place",16000US0101396,40724,42159,42009,40817,87900,78800,80000,80000
"Altoona, AL","place",16000US0101660,29722,28646,27566,28672,75000,69800,67600,82200
"Andalusia, AL","place",16000US0101708,29632,31393,31968,34012,90400,90500,90300,97900
"Anderson, AL","place",16000US0101756,38750,43750,34792,45500,92000,87300,98800,106900
"Anniston, AL","place",16000US0101852,30400,31399,29681,30539,92600,98600,99900,98500
"Arab, AL","place",16000US0102116,42039,41788,40292,42199,145200,142700,145300,149300
"Ardmore, AL","place",16000US0102260,37037,37431,35670,35150,125000,127500,127500,98800
"Argo, AL","place",16000US0102320,53708,53476,57212,58103,145500,150800,156400,158800
"Ariton, AL","place",16000US0102428,27917,33462,24286,30833,90200,93700,97900,102200
"Arley, AL","place",16000US0102500,26406,31042,28750,33438,87100,89500,86500,96700
"Ashford, AL","place",16000US0102836,42647,39773,42704,43641,119600,116300,114300,112800
"Ashland, AL","place",16000US0102860,24512,26989,31438,31042,89300,105100,86900,89600
"Ashville, AL","place",16000US0102908,32928,36471,40547,47917,63600,79600,93800,108200
"Athens, AL","place",16000US0102956,46867,47354,47542,45920,139900,140000,135700,139400
"Atmore, AL","place",16000US0103004,24911,24165,26775,25487,91000,87900,97300,96100
"Attalla, AL","place",16000US0103028,30865,32917,37191,38921,63400,57900,64900,72200
"Auburn, AL","place",16000US0103076,37715,37406,38342,38912,213400,216800,220000,226600
